FileName,N_Total,N_Outliers,Mean_ms,Median_ms,Std_ms,Min_ms,Max_ms,Mean_ms_NoOutlier,Median_ms_NoOutlier,Std_ms_NoOutlier,Min_ms_NoOutlier,Max_ms_NoOutlier
sub-P001_ses-S001_task-Default_run-001_eeg-0-500.xdf,561,0,8.21303665551164,8.18721189716598,5.07989393788723,-3.28869000259147,22.7016411990917,8.21303665551164,8.18721189716598,5.07989393788723,-3.28869000259147,22.7016411990917
sub-P001_ses-S001_task-Default_run-001_eeg-7-500.xdf,986,0,8.73116603025142,8.60253445080161,4.77208692986356,-5.74795313696086,20.8333787959418,8.73116603025142,8.60253445080161,4.77208692986356,-5.74795313696086,20.8333787959418
sub-P001_ses-S001_task-Default_run-001_eeg-7.xdf,243,1,7.91070870478888,8.27678341374849,5.24421602947685,-11.8547105548714,21.2544327268915,7.99238399098583,8.27908202427352,5.09785972585369,-4.36743963473418,21.2544327268915
sub-P001_ses-S001_task-Default_run-001_eeg-old1-7.xdf,277,1,8.32798751540946,7.9293766639239,5.5477189930926,-18.234866698549,21.125463489625,8.42422974082236,7.98942757865007,5.32109409497009,-6.33531466610293,21.125463489625
sub-P001_ses-S001_task-Default_run-001_eeg_old1.xdf,170,0,9.06640699048533,8.60124532937334,5.00264918758986,-1.66429773344134,21.3690931223027,9.06640699048533,8.60124532937334,5.00264918758986,-1.66429773344134,21.3690931223027
sub-P001_ses-S001_task-Default_run-001_eeg_old13-7.xdf,167,0,7.77043671980514,6.92434080701787,4.8566932296507,-2.46952780253196,18.6608408766915,7.77043671980514,6.92434080701787,4.8566932296507,-2.46952780253196,18.6608408766915
sub-P001_ses-S001_task-Default_run-001_eeg_old14-7.xdf,214,1,7.32945519070131,7.51971671616047,6.43051665648441,-58.8748253248923,21.5743311528058,7.64027340908438,7.62289720660192,4.55795733629934,-1.80367360553646,21.5743311528058
sub-P001_ses-S001_task-Default_run-001_eeg_old15.xdf,279,1,9.19701580298309,8.67658274501082,5.01505149843802,-0.369216023727859,26.8127127619664,9.13364998658387,8.6747911943803,4.91093127312869,-0.369216023727859,22.7804198968897
sub-P001_ses-S001_task-Default_run-001_eeg_old16.xdf,129,0,8.23373106993674,7.94728440496328,4.9734067792676,-1.66367125302713,20.2046656277162,8.23373106993674,7.94728440496328,4.9734067792676,-1.66367125302713,20.2046656277162
sub-P001_ses-S001_task-Default_run-001_eeg_old17.xdf,185,0,8.6905687318953,8.08266166723115,5.13609618234984,-2.7011345396204,21.9892280670138,8.6905687318953,8.08266166723115,5.13609618234984,-2.7011345396204,21.9892280670138
sub-P001_ses-S001_task-Default_run-001_eeg_old18.xdf,206,0,9.94824563056161,9.88390789211735,5.24853215883236,-3.61477198794091,22.1137421863205,9.94824563056161,9.88390789211735,5.24853215883236,-3.61477198794091,22.1137421863205
sub-P001_ses-S001_task-Default_run-001_eeg_old2.xdf,258,0,9.3109679407053,9.15766813432128,4.95198098136112,-6.29444063179108,20.7994417924056,9.3109679407053,9.15766813432128,4.95198098136112,-6.29444063179108,20.7994417924056
sub-P001_ses-S001_task-Default_run-001_eeg_old3.xdf,51,0,10.2129926564671,9.75004480187636,5.06093077263936,0.650814800792432,21.8517059547594,10.2129926564671,9.75004480187636,5.06093077263936,0.650814800792432,21.8517059547594
sub-P001_ses-S001_task-Default_run-001_eeg_old4.xdf,163,0,8.17041037073537,7.39877881551365,4.95954745331621,-1.18206302886392,20.4752349663977,8.17041037073537,7.39877881551365,4.95954745331621,-1.18206302886392,20.4752349663977
sub-P001_ses-S001_task-Default_run-001_eeg_old5-7-500.xdf,726,0,8.08716534628887,7.95464565180737,4.86520865427561,-5.21652937641193,20.7938562034542,8.08716534628887,7.95464565180737,4.86520865427561,-5.21652937641193,20.7938562034542
